time(min),1st component,2nd component,ph,COD removal% (OUTPUT)
30,0,5,3,33
30,0,10,3,25
30,0,15,3,33.33
30,0,20,3,33.33
30,0,25,3,33.33
30,0,5,5,75
30,0,10,5,20
30,0,15,5,33.33
30,0,20,5,75
30,0,25,5,33
30,0,5,7,25
30,0,10,7,50
30,0,15,7,25
30,0,20,7,20
30,0,25,7,33
30,0,5,8,25
30,0,10,8,25
30,0,15,8,50
30,0,20,8,66.66
30,0,25,8,33.33
30,0,5,9,25
30,0,10,9,25
30,0,15,9,25
30,0,20,9,33.33
30,0,25,9,40
30,0.5,4.5,3,33
30,1,9,3,0
30,1.5,13.5,3,50
30,2,18,3,20
30,2.5,22.5,3,20
30,0.5,4.5,5,33
30,1,9,5,25
30,1.5,13.5,5,50
30,2,18,5,50
30,2.5,22.5,5,16.66
30,0.5,4.5,7,25
30,1,9,7,50
30,1.5,13.5,7,25
30,2,18,7,50
30,2.5,22.5,7,25
30,0.5,4.5,8,25
30,1,9,8,25
30,1.5,13.5,8,75
30,2,18,8,75
30,2.5,22.5,8,25
30,0.5,4.5,9,33
30,1,9,9,33.33
30,1.5,13.5,9,33
30,2,18,9,50
30,2.5,22.5,9,66.66
30,1,4,3,50
30,2,8,3,75
30,3,12,3,33
30,4,16,3,33
30,5,20,3,25
30,1,4,5,25
30,2,8,5,50
30,3,12,5,75
30,4,16,5,50
30,5,20,5,50
30,1,4,7,33.33
30,2,8,7,25
30,3,12,7,50
30,4,16,7,33
30,5,20,7,25
30,1,4,8,25
30,2,8,8,25
30,3,12,8,0
30,4,16,8,100
30,5,20,8,0
30,1,4,9,33
30,2,8,9,25
30,3,12,9,33
30,4,16,9,33
30,5,20,9,33.33
60,0,5,3,66
60,0,10,3,25
60,0,15,3,66.66
60,0,20,3,33.33
60,0,25,3,33.33
60,0,5,5,25
60,0,10,5,20
60,0,15,5,33.33
60,0,20,5,50
60,0,25,5,33
60,0,5,7,25
60,0,10,7,75
60,0,15,7,50
60,0,20,7,20
60,0,25,7,66
60,0,5,8,25
60,0,10,8,25
60,0,15,8,50
60,0,20,8,66.66
60,0,25,8,33.33
60,0,5,9,25
60,0,10,9,25
60,0,15,9,25
60,0,20,9,66.66
60,0,25,9,40
60,0.5,4.5,3,75
60,1,9,3,50
60,1.5,13.5,3,50
60,2,18,3,33
60,2.5,22.5,3,20
60,0.5,4.5,5,50
60,1,9,5,25
60,1.5,13.5,5,50
60,2,18,5,75
60,2.5,22.5,5,33.33
60,0.5,4.5,7,25
60,1,9,7,50
60,1.5,13.5,7,25
60,2,18,7,50
60,2.5,22.5,7,25
60,0.5,4.5,8,50
60,1,9,8,25
60,1.5,13.5,8,50
60,2,18,8,75
60,2.5,22.5,8,25
60,0.5,4.5,9,75
60,1,9,9,33.33
60,1.5,13.5,9,50
60,2,18,9,50
60,2.5,22.5,9,66.66
60,1,4,3,50
60,2,8,3,75
60,3,12,3,75
60,4,16,3,50
60,5,20,3,25
60,1,4,5,50
60,2,8,5,50
60,3,12,5,75
60,4,16,5,75
60,5,20,5,50
60,1,4,7,100
60,2,8,7,25
60,3,12,7,50
60,4,16,7,33
60,5,20,7,25
60,1,4,8,50
60,2,8,8,75
60,3,12,8,50
60,4,16,8,75
60,5,20,8,33.33
60,1,4,9,33
60,2,8,9,75
60,3,12,9,50
60,4,16,9,33
60,5,20,9,66.66
90,0,5,3,33
90,0,10,3,50
90,0,15,3,33.33
90,0,20,3,33.33
90,0,25,3,66.66
90,0,5,5,25
90,0,10,5,20
90,0,15,5,66.66
90,0,20,5,50
90,0,25,5,33
90,0,5,7,25
90,0,10,7,25
90,0,15,7,25
90,0,20,7,20
90,0,25,7,66
90,0,5,8,50
90,0,10,8,50
90,0,15,8,50
90,0,20,8,33.33
90,0,25,8,66
90,0,5,9,25
90,0,10,9,25
90,0,15,9,75
90,0,20,9,66.66
90,0,25,9,40
90,0.5,4.5,3,75
90,1,9,3,50
90,1.5,13.5,3,33
90,2,18,3,50
90,2.5,22.5,3,60
90,0.5,4.5,5,50
90,1,9,5,75
90,1.5,13.5,5,50
90,2,18,5,50
90,2.5,22.5,5,33.33
90,0.5,4.5,7,25
90,1,9,7,50
90,1.5,13.5,7,25
90,2,18,7,50
90,2.5,22.5,7,50
90,0.5,4.5,8,50
90,1,9,8,25
90,1.5,13.5,8,50
90,2,18,8,75
90,2.5,22.5,8,25
90,0.5,4.5,9,75
90,1,9,9,33.33
90,1.5,13.5,9,75
90,2,18,9,33
90,2.5,22.5,9,33.33
90,1,4,3,50
90,2,8,3,75
90,3,12,3,50
90,4,16,3,50
90,5,20,3,50
90,1,4,5,50
90,2,8,5,50
90,3,12,5,75
90,4,16,5,50
90,5,20,5,50
90,1,4,7,33.33
90,2,8,7,50
90,3,12,7,50
90,4,16,7,50
90,5,20,7,50
90,1,4,8,50
90,2,8,8,75
90,3,12,8,75
90,4,16,8,75
90,5,20,8,33.33
90,1,4,9,33
90,2,8,9,50
90,3,12,9,50
90,4,16,9,50
90,5,20,9,66.66
120,0,5,3,33
120,0,10,3,75
120,0,15,3,33.33
120,0,20,3,33.33
120,0,25,3,66.66
120,0,5,5,25
120,0,10,5,80
120,0,15,5,33.33
120,0,20,5,50
120,0,25,5,33
120,0,5,7,25
120,0,10,7,25
120,0,15,7,25
120,0,20,7,20
120,0,25,7,66
120,0,5,8,50
120,0,10,8,50
120,0,15,8,75
120,0,20,8,33.33
120,0,25,8,33
120,0,5,9,25
120,0,10,9,50
120,0,15,9,25
120,0,20,9,66.66
120,0,25,9,40
120,0.5,4.5,3,50
120,1,9,3,50
120,1.5,13.5,3,50
120,2,18,3,50
120,2.5,22.5,3,60
120,0.5,4.5,5,33
120,1,9,5,50
120,1.5,13.5,5,33
120,2,18,5,50
120,2.5,22.5,5,83.33
120,0.5,4.5,7,33
120,1,9,7,50
120,1.5,13.5,7,25
120,2,18,7,50
120,2.5,22.5,7,50
120,0.5,4.5,8,25
120,1,9,8,25
120,1.5,13.5,8,50
120,2,18,8,75
120,2.5,22.5,8,25
120,0.5,4.5,9,75
120,1,9,9,66.66
120,1.5,13.5,9,75
120,2,18,9,50
120,2.5,22.5,9,33.33
120,1,4,3,50
120,2,8,3,75
120,3,12,3,50
120,4,16,3,75
120,5,20,3,50
120,1,4,5,50
120,2,8,5,75
120,3,12,5,75
120,4,16,5,50
120,5,20,5,50
120,1,4,7,33.33
120,2,8,7,50
120,3,12,7,50
120,4,16,7,75
120,5,20,7,75
120,1,4,8,25
120,2,8,8,75
120,3,12,8,75
120,4,16,8,75
120,5,20,8,33.33
120,1,4,9,33
120,2,8,9,50
120,3,12,9,50
120,4,16,9,50
120,5,20,9,33.33
150,0,5,3,33
150,0,10,3,50
150,0,15,3,33.33
150,0,20,3,33.33
150,0,25,3,66.66
150,0,5,5,25
150,0,10,5,20
150,0,15,5,33.33
150,0,20,5,50
150,0,25,5,66
150,0,5,7,25
150,0,10,7,25
150,0,15,7,25
150,0,20,7,50
150,0,25,7,66
150,0,5,8,50
150,0,10,8,75
150,0,15,8,50
150,0,20,8,33.33
150,0,25,8,33
150,0,5,9,25
150,0,10,9,50
150,0,15,9,25
150,0,20,9,33.33
150,0,25,9,20
150,0.5,4.5,3,50
150,1,9,3,50
150,1.5,13.5,3,33
150,2,18,3,50
150,2.5,22.5,3,80
150,0.5,4.5,5,75
150,1,9,5,25
150,1.5,13.5,5,75
150,2,18,5,50
150,2.5,22.5,5,16.66
150,0.5,4.5,7,33
150,1,9,7,50
150,1.5,13.5,7,75
150,2,18,7,33
150,2.5,22.5,7,25
150,0.5,4.5,8,25
150,1,9,8,25
150,1.5,13.5,8,50
150,2,18,8,100
150,2.5,22.5,8,50
150,0.5,4.5,9,75
150,1,9,9,66.66
150,1.5,13.5,9,95
150,2,18,9,50
150,2.5,22.5,9,33.33
150,1,4,3,50
150,2,8,3,75
150,3,12,3,50
150,4,16,3,75
150,5,20,3,75
150,1,4,5,75
150,2,8,5,25
150,3,12,5,50
150,4,16,5,75
150,5,20,5,50
150,1,4,7,33.33
150,2,8,7,50
150,3,12,7,3
150,4,16,7,33
150,5,20,7,25
150,1,4,8,25
150,2,8,8,75
150,3,12,8,50
150,4,16,8,75
150,5,20,8,100
150,1,4,9,50
150,2,8,9,50
150,3,12,9,75
150,4,16,9,50
150,5,20,9,33.33
180,0,5,3,33
180,0,10,3,50
180,0,15,3,33.33
180,0,20,3,33.33
180,0,25,3,66.66
180,0,5,5,25
180,0,10,5,20
180,0,15,5,33.33
180,0,20,5,75
180,0,25,5,33
180,0,5,7,25
180,0,10,7,25
180,0,15,7,75
180,0,20,7,50
180,0,25,7,33
180,0,5,8,75
180,0,10,8,50
180,0,15,8,50
180,0,20,8,33.33
180,0,25,8,33
180,0,5,9,25
180,0,10,9,25
180,0,15,9,75
180,0,20,9,66.66
180,0,25,9,20
180,0.5,4.5,3,50
180,1,9,3,50
180,1.5,13.5,3,33
180,2,18,3,33
180,2.5,22.5,3,20
180,0.5,4.5,5,50
180,1,9,5,25
180,1.5,13.5,5,75
180,2,18,5,50
180,0.5,4.5,7,33
180,1,9,7,50
180,1.5,13.5,7,50
180,2,18,7,33
180,2.5,22.5,7,25
180,0.5,4.5,8,75
180,1,9,8,25
180,1.5,13.5,8,75
180,2,18,8,75
180,2.5,22.5,8,25
180,0.5,4.5,9,75
180,1,9,9,66.66
180,1.5,13.5,9,95
180,2,18,9,50
180,2.5,22.5,9,33.33
180,1,4,3,25
180,2,8,3,25
180,3,12,3,50
180,4,16,3,75
180,5,20,3,25
180,1,4,5,50
180,2,8,5,25
180,3,12,5,50
180,4,16,5,95
180,5,20,5,50
180,1,4,7,33.33
180,2,8,7,25
180,3,12,7,33
180,4,16,7,33
180,5,20,7,25
180,1,4,8,25
180,2,8,8,100
180,3,12,8,25
180,4,16,8,50
180,5,20,8,66.66
180,1,4,9,50
180,2,8,9,50
180,3,12,9,75
180,4,16,9,75
180,5,20,9,33.33
